ITEM,Qty conf,,,,,,,,,,
150593,3,,,,,,,,,,
150594,3,,,,,,,,,,
150595,3,,,,,,,,,,
150596,3,,,,,,,,,,
150597,3,,,,,,,,,,
150598,3,,,,,,,,,,
150599,3,,,,,,,,,,
150600,3,,,,,,,,,,
150601,3,,,,,,,,,,
150602,3,,,,,,,,,,
150608,3,,,,,,,,,,
150609,3,,,,,,,,,,
150610,3,,,,,,,,,,
150611,3,,,,,,,,,,
150612,3,,,,,,,,,,
150613,3,,,,,,,,,,
150614,3,,,,,,,,,,
150615,3,,,,,,,,,,
150616,3,,,,,,,,,,
150617,3,,,,,,,,,,
150623,3,,,,,,,,,,
150624,3,,,,,,,,,,
150625,3,,,,,,,,,,
150626,3,,,,,,,,,,
150627,3,,,,,,,,,,
150628,3,,,,,,,,,,
150629,3,,,,,,,,,,
150630,3,,,,,,,,,,
150631,3,,,,,,,,,,
150632,3,,,,,,,,,,
150638,3,,,,,,,,,,
150639,3,,,,,,,,,,
150640,3,,,,,,,,,,
150641,3,,,,,,,,,,
150642,3,,,,,,,,,,
150643,3,,,,,,,,,,
150644,3,,,,,,,,,,
150645,3,,,,,,,,,,
150646,3,,,,,,,,,,
150647,3,,,,,,,,,,
150653,3,,,,,,,,,,
150654,3,,,,,,,,,,
150655,3,,,,,,,,,,
150656,3,,,,,,,,,,
150657,3,,,,,,,,,,
150658,3,,,,,,,,,,
150659,3,,,,,,,,,,
150660,3,,,,,,,,,,
150661,3,,,,,,,,,,
150662,3,,,,,,,,,,
150668,3,,,,,,,,,,
150669,3,,,,,,,,,,
150670,3,,,,,,,,,,
150671,3,,,,,,,,,,
150672,3,,,,,,,,,,
150673,3,,,,,,,,,,
150674,3,,,,,,,,,,
150675,3,,,,,,,,,,
150676,3,,,,,,,,,,
150677,3,,,,,,,,,,
150683,3,,,,,,,,,,
150684,3,,,,,,,,,,
150685,3,,,,,,,,,,
150686,3,,,,,,,,,,
150687,3,,,,,,,,,,
150688,3,,,,,,,,,,
150689,3,,,,,,,,,,
150690,3,,,,,,,,,,
150691,3,,,,,,,,,,
150692,3,,,,,,,,,,
150698,3,,,,,,,,,,
150699,3,,,,,,,,,,
150700,3,,,,,,,,,,
150701,3,,,,,,,,,,
150702,3,,,,,,,,,,
150703,3,,,,,,,,,,
150704,3,,,,,,,,,,
150705,3,,,,,,,,,,
150706,3,,,,,,,,,,
150707,3,,,,,,,,,,
150708,3,,,,,,,,,,
150709,3,,,,,,,,,,
150710,3,,,,,,,,,,
150711,3,,,,,,,,,,
150712,3,,,,,,,,,,
150713,3,,,,,,,,,,
150714,3,,,,,,,,,,
150715,3,,,,,,,,,,
150716,3,,,,,,,,,,
150717,3,,,,,,,,,,
150718,3,,,,,,,,,,
150719,3,,,,,,,,,,
150720,3,,,,,,,,,,
150721,3,,,,,,,,,,
150722,3,,,,,,,,,,
150723,3,,,,,,,,,,
150724,3,,,,,,,,,,
150725,3,,,,,,,,,,
150726,3,,,,,,,,,,
150727,3,,,,,,,,,,
150728,3,,,,,,,,,,
150729,3,,,,,,,,,,
150730,3,,,,,,,,,,
150731,3,,,,,,,,,,
150732,3,,,,,,,,,,
150733,3,,,,,,,,,,
150734,3,,,,,,,,,,
150735,3,,,,,,,,,,
150736,3,,,,,,,,,,
150737,3,,,,,,,,,,
150738,3,,,,,,,,,,
150739,3,,,,,,,,,,
150740,3,,,,,,,,,,
150741,3,,,,,,,,,,
150742,3,,,,,,,,,,
150743,3,,,,,,,,,,
150744,3,,,,,,,,,,
150745,3,,,,,,,,,,
150746,3,,,,,,,,,,
150747,3,,,,,,,,,,
154295,3,,,,,,,,,,
154296,3,,,,,,,,,,
154297,3,,,,,,,,,,
154298,3,,,,,,,,,,
154299,3,,,,,,,,,,
154300,3,,,,,,,,,,
154301,3,,,,,,,,,,
154302,3,,,,,,,,,,
154303,3,,,,,,,,,,
154304,3,,,,,,,,,,
154305,3,,,,,,,,,,
154306,3,,,,,,,,,,
154307,3,,,,,,,,,,
154308,3,,,,,,,,,,
154309,3,,,,,,,,,,
154310,3,,,,,,,,,,
154311,3,,,,,,,,,,
154312,3,,,,,,,,,,
154313,3,,,,,,,,,,
154314,3,,,,,,,,,,
154315,3,,,,,,,,,,
154317,3,,,,,,,,,,
154319,3,,,,,,,,,,
154321,3,,,,,,,,,,
154323,3,,,,,,,,,,
154325,3,,,,,,,,,,
154327,3,,,,,,,,,,
154329,3,,,,,,,,,,
154331,3,,,,,,,,,,
154333,3,,,,,,,,,,
154345,3,,,,,,,,,,
154346,3,,,,,,,,,,
154347,3,,,,,,,,,,
154348,3,,,,,,,,,,
154349,3,,,,,,,,,,
154350,3,,,,,,,,,,
154351,3,,,,,,,,,,
154352,3,,,,,,,,,,
154353,3,,,,,,,,,,
154354,3,,,,,,,,,,
154355,3,,,,,,,,,,
154356,3,,,,,,,,,,
154357,3,,,,,,,,,,
154358,3,,,,,,,,,,
154359,3,,,,,,,,,,
154360,3,,,,,,,,,,
154361,3,,,,,,,,,,
154362,3,,,,,,,,,,
154363,3,,,,,,,,,,
154364,3,,,,,,,,,,
154365,3,,,,,,,,,,
154366,3,,,,,,,,,,
154367,3,,,,,,,,,,
154368,3,,,,,,,,,,
154369,3,,,,,,,,,,
154370,3,,,,,,,,,,
154371,3,,,,,,,,,,
154372,3,,,,,,,,,,
154373,3,,,,,,,,,,
154374,3,,,,,,,,,,
154375,3,,,,,,,,,,
154376,3,,,,,,,,,,
154377,3,,,,,,,,,,
154378,3,,,,,,,,,,
154379,3,,,,,,,,,,
154380,3,,,,,,,,,,
154381,3,,,,,,,,,,
154382,3,,,,,,,,,,
154383,3,,,,,,,,,,
154384,3,,,,,,,,,,
154385,3,,,,,,,,,,
154387,3,,,,,,,,,,
154389,3,,,,,,,,,,
154391,3,,,,,,,,,,
154393,3,,,,,,,,,,
154395,3,,,,,,,,,,
154397,3,,,,,,,,,,
154399,3,,,,,,,,,,
154401,3,,,,,,,,,,
154403,3,,,,,,,,,,
154405,3,,,,,,,,,,
154406,3,,,,,,,,,,
154407,3,,,,,,,,,,
154408,3,,,,,,,,,,
154409,3,,,,,,,,,,
154410,3,,,,,,,,,,
154411,3,,,,,,,,,,
154412,3,,,,,,,,,,
154413,3,,,,,,,,,,
154414,3,,,,,,,,,,
154415,3,,,,,,,,,,
154416,3,,,,,,,,,,
154417,3,,,,,,,,,,
154418,3,,,,,,,,,,
154419,3,,,,,,,,,,
154420,3,,,,,,,,,,
154421,3,,,,,,,,,,
154422,3,,,,,,,,,,
154423,3,,,,,,,,,,
154424,3,,,,,,,,,,
154425,3,,,,,,,,,,
154426,3,,,,,,,,,,
154427,3,,,,,,,,,,
154428,3,,,,,,,,,,
154429,3,,,,,,,,,,
154430,3,,,,,,,,,,
154431,3,,,,,,,,,,
154432,3,,,,,,,,,,
154433,3,,,,,,,,,,
154434,3,,,,,,,,,,
154435,3,,,,,,,,,,
154436,3,,,,,,,,,,
154437,3,,,,,,,,,,
154438,3,,,,,,,,,,
154439,3,,,,,,,,,,
154440,3,,,,,,,,,,
154441,3,,,,,,,,,,
154442,3,,,,,,,,,,
154443,3,,,,,,,,,,
154444,3,,,,,,,,,,
154445,3,,,,,,,,,,
154446,3,,,,,,,,,,
154447,3,,,,,,,,,,
154448,3,,,,,,,,,,
154449,3,,,,,,,,,,
154450,3,,,,,,,,,,
154451,3,,,,,,,,,,
154452,3,,,,,,,,,,
154453,3,,,,,,,,,,
154454,3,,,,,,,,,,
154455,3,,,,,,,,,,
154456,3,,,,,,,,,,
154457,3,,,,,,,,,,
154458,3,,,,,,,,,,
154459,3,,,,,,,,,,
154460,3,,,,,,,,,,
154461,3,,,,,,,,,,
154462,3,,,,,,,,,,
154463,3,,,,,,,,,,
154464,3,,,,,,,,,,
154465,3,,,,,,,,,,
154466,3,,,,,,,,,,
154467,3,,,,,,,,,,
154468,3,,,,,,,,,,
154469,3,,,,,,,,,,
154470,3,,,,,,,,,,
154471,3,,,,,,,,,,
